2019-05-08 10:25:50,213 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Wed May 08 10:25:50 UTC 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2019-05-08 10:25:50,968 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2019-05-08 10:25:51,178 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2019-05-08 10:25:51,401 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2019-05-08 10:25:51,619 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:a83b7afaf091-37967-1557311151414-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2019-05-08 10:25:51,637 | INFO  | Listening for connections at: tcp://a83b7afaf091:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-05-08 10:25:51,638 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2019-05-08 10:25:51,642 | INFO  | Listening for connections at: amqp://a83b7afaf091:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-05-08 10:25:51,643 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2019-05-08 10:25:51,647 | INFO  | Listening for connections at: stomp://a83b7afaf091:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-05-08 10:25:51,649 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2019-05-08 10:25:51,652 | INFO  | Listening for connections at: mqtt://a83b7afaf091:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-05-08 10:25:51,654 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
